"year","mes","sitio_desembarco","arte_pesca","nombre_vulgar","nombre_cientifico","ingresocorrientes","income","especie","sitio","arte","capturakg","esfuerzo","cpuekgfaena","tmccm","ds","salinidad","date","ipc","rsal","rsallab","name"
2002,1,"NUEVA VENECIA","ATARRAYA","CHIVO CABEZON","Ariopsis canteri","$879,912",879912,1,1,1,1335.22998046875,1434,33.5499992370605,25.7999992370605,5.30000019073486,11.5699996948242,504,67.2600173950195,1,"6-18","Ariopsis canteri"
2002,1,"NUEVA VENECIA","ATARRAYA","LISA","Mugil incilis","$27,278,197",27278197,2,1,1,32751.380859375,1434,33.5499992370605,21.2999992370605,3.90000009536743,11.5699996948242,504,67.2600173950195,1,"6-18","Mugil incilis"
2002,1,"NUEVA VENECIA","ATARRAYA","MACABI","Elops schmitti","$133,119",133119,3,1,1,252.75,1434,33.5499992370605,27.2000007629395,4.19999980926514,11.5699996948242,504,67.2600173950195,1,"6-18","Elops schmitti"
2002,1,"NUEVA VENECIA","ATARRAYA","MAPALE","Cathorops mapale","$718,373",718373,4,1,1,2270.84008789062,1434,33.5499992370605,20.8999996185303,2.70000004768372,11.5699996948242,504,67.2600173950195,1,"6-18","Cathorops mapale"
2002,1,"NUEVA VENECIA","ATARRAYA","MOJARRA LORA","Oreochromis niloticus","$142,460",142460,5,1,1,124.51000213623,1434,33.5499992370605,18.2999992370605,4.59999990463257,11.5699996948242,504,67.2600173950195,1,"6-18","Orechromis nicolitus"
2002,1,"NUEVA VENECIA","ATARRAYA","MOJARRA RAYADA","Eugerres plumieri","$10,458",10458,6,1,1,17.9300003051758,1434,33.5499992370605,19.3999996185303,2.79999995231628,11.5699996948242,504,67.2600173950195,1,"6-18","Eugerres plumieri"
2002,1,"NUEVA VENECIA","ATARRAYA","OTRAS","Otras","$3,906,776",3906776,7,1,1,8030.85009765625,1434,33.5499992370605,NA,NA,11.5699996948242,504,67.2600173950195,1,"6-18","Other"
2002,1,"NUEVA VENECIA","ATARRAYA","SABALO","Megalops atlanticus","$3,646,621",3646621,8,1,1,3321.419921875,1434,33.5499992370605,28.3999996185303,11,11.5699996948242,504,67.2600173950195,1,"6-18","Megalops atlanticus"
2002,2,"NUEVA VENECIA","ATARRAYA","CHIVO CABEZON","Ariopsis canteri","$1,242,549",1242549,1,1,1,1714,1203,20.3999996185303,27.2000007629395,5.19999980926514,13.7700004577637,505,68.1052017211914,1,"6-18","Ariopsis canteri"
2002,2,"NUEVA VENECIA","ATARRAYA","LISA","Mugil incilis","$10,591,929",10591929,2,1,1,12305.099609375,1203,20.3999996185303,23.3999996185303,3.79999995231628,13.7700004577637,505,68.1052017211914,1,"6-18","Mugil incilis"
2002,2,"NUEVA VENECIA","ATARRAYA","MACABI","Elops schmitti","$514,537",514537,3,1,1,1036.90002441406,1203,20.3999996185303,22.1000003814697,3.09999990463257,13.7700004577637,505,68.1052017211914,1,"6-18","Elops schmitti"
2002,2,"NUEVA VENECIA","ATARRAYA","MAPALE","Cathorops mapale","$480,704",480704,4,1,1,678.5,1203,20.3999996185303,20,2.90000009536743,13.7700004577637,505,68.1052017211914,1,"6-18","Cathorops mapale"
2002,2,"NUEVA VENECIA","ATARRAYA","MOJARRA LORA","Oreochromis niloticus","$629,545",629545,5,1,1,501.100006103516,1203,20.3999996185303,21.3999996185303,3.79999995231628,13.7700004577637,505,68.1052017211914,1,"6-18","Orechromis nicolitus"
2002,2,"NUEVA VENECIA","ATARRAYA","MOJARRA RAYADA","Eugerres plumieri","$34,447",34447,6,1,1,40.7099990844727,1203,20.3999996185303,21.7999992370605,2.5,13.7700004577637,505,68.1052017211914,1,"6-18","Eugerres plumieri"
2002,2,"NUEVA VENECIA","ATARRAYA","OTRAS","Otras","$1,487,418",1487418,7,1,1,3670.21997070312,1203,20.3999996185303,NA,NA,13.7700004577637,505,68.1052017211914,1,"6-18","Other"
2002,2,"NUEVA VENECIA","ATARRAYA","SABALO","Megalops atlanticus","$3,198,454",3198454,8,1,1,4588.60986328125,1203,20.3999996185303,28.8999996185303,8.80000019073486,13.7700004577637,505,68.1052017211914,1,"6-18","Megalops atlanticus"
2002,3,"NUEVA VENECIA","ATARRAYA","CHIVO CABEZON","Ariopsis canteri","$2,934,339",2934339,1,1,1,4762.6298828125,2023,27.7000007629395,26.2999992370605,5.80000019073486,22.7600002288818,506,68.5876083374023,2,"19-30","Ariopsis canteri"
2002,3,"NUEVA VENECIA","ATARRAYA","LISA","Mugil incilis","$34,726,946",34726946,2,1,1,38945.19140625,2023,27.7000007629395,23.2999992370605,3.40000009536743,22.7600002288818,506,68.5876083374023,2,"19-30","Mugil incilis"
2002,3,"NUEVA VENECIA","ATARRAYA","MACABI","Elops schmitti","$709,181",709181,3,1,1,1605,2023,27.7000007629395,26.3999996185303,6.30000019073486,22.7600002288818,506,68.5876083374023,2,"19-30","Elops schmitti"
2002,3,"NUEVA VENECIA","ATARRAYA","MAPALE","Cathorops mapale","$327,703",327703,4,1,1,1704.06005859375,2023,27.7000007629395,19.8999996185303,2.59999990463257,22.7600002288818,506,68.5876083374023,2,"19-30","Cathorops mapale"
2002,3,"NUEVA VENECIA","ATARRAYA","MOJARRA LORA","Oreochromis niloticus","$128,082",128082,5,1,1,147.149993896484,2023,27.7000007629395,21.5,4,22.7600002288818,506,68.5876083374023,2,"19-30","Orechromis nicolitus"
