"year","mes","ermy","z","salimp","esfuerzo","day","fecha","ermyimp","zimp","eimp","mes1","rsal","rsallab"
2002,1,38.0669631958008,33.5459594726562,11.5699996948242,1434,1,2002-01-01,38.0669631958008,33.5459594726562,1434,"Jan",1,"6-18"
2002,2,22.1890144348145,20.394962310791,13.7700004577637,1203,1,2002-02-01,22.1890144348145,20.394962310791,1203,"Feb",1,"6-18"
2002,3,32.6919822692871,27.6948795318604,22.7600002288818,2023,1,2002-03-01,32.6919822692871,27.6948795318604,2023,"Mar",2,"19-30"
2002,4,22.3656921386719,25.8326435089111,32.310001373291,2470,1,2002-04-01,22.3656921386719,25.8326435089111,2470,"Apr",3,">30"
2002,5,15.3189716339111,16.4825687408447,31.9899997711182,2718,1,2002-05-01,15.3189716339111,16.4825687408447,2718,"May",3,">30"
2002,6,24.970458984375,23.7580089569092,27.3600006103516,2634,1,2002-06-01,24.970458984375,23.7580089569092,2634,"Jun",2,"19-30"
2002,7,19.571849822998,19.5279560089111,25.2600002288818,2523,1,2002-07-01,19.571849822998,19.5279560089111,2523,"Jul",2,"19-30"
2002,8,20.3646068572998,23.5780906677246,26.3600006103516,3144,1,2002-08-01,20.3646068572998,23.5780906677246,3144,"Aug",2,"19-30"
2002,9,20.9955959320068,44.6298828125,25.5400009155273,3450,1,2002-09-01,20.9955959320068,44.6298828125,3450,"Sept",2,"19-30"
2002,10,22.9292659759521,36.276554107666,25.7600002288818,2850,1,2002-10-01,22.9292659759521,36.276554107666,2850,"Oct",2,"19-30"
2002,11,17.3759899139404,31.5957412719727,22.5300006866455,2883,1,2002-11-01,17.3759899139404,31.5957412719727,2883,"Nov",2,"19-30"
2002,12,25.1568946838379,34.9344863891602,21.3099994659424,2926,1,2002-12-01,25.1568946838379,34.9344863891602,2926,"Dec",2,"19-30"
2003,1,NA,NA,24.703332901001,NA,1,2003-01-01,24.0773401935414,49.2726973442162,2810.3487306714,"Jan",2,"19-30"
2003,2,28.4830265045166,65.017219543457,28.0966663360596,2697,1,2003-02-01,28.4830265045166,65.017219543457,2697,"Feb",2,"19-30"
2003,3,26.2933216094971,63.7457618713379,31.4899997711182,2674,1,2003-03-01,26.2933216094971,63.7457618713379,2674,"Mar",3,">30"
2003,4,23.4002857208252,53.5724220275879,29.7650003433228,2832,1,2003-04-01,23.4002857208252,53.5724220275879,2832,"Apr",2,"19-30"
2003,5,15.7520895004272,37.0242004394531,28.0400009155273,3066,1,2003-05-01,15.7520895004272,37.0242004394531,3066,"May",2,"19-30"
2003,6,16.7378273010254,37.5762519836426,24.6100006103516,2890,1,2003-06-01,16.7378273010254,37.5762519836426,2890,"Jun",2,"19-30"
2003,7,14.3106079101562,31.67067527771,21.4899997711182,2934,1,2003-07-01,14.3106079101562,31.67067527771,2934,"Jul",2,"19-30"
2003,8,18.2598934173584,43.9945373535156,19.5400009155273,3178,1,2003-08-01,18.2598934173584,43.9945373535156,3178,"Aug",2,"19-30"
2003,9,17.4014167785645,37.0803337097168,17.6700000762939,3065,1,2003-09-01,17.4014167785645,37.0803337097168,3065,"Sept",1,"6-18"
2003,10,23.606897354126,37.6042327880859,11.9200000762939,2866,1,2003-10-01,23.606897354126,37.6042327880859,2866,"Oct",1,"6-18"
2003,11,20.9785556793213,36.3055381774902,10.6199998855591,3005,1,2003-11-01,20.9785556793213,36.3055381774902,3005,"Nov",1,"6-18"
2003,12,16.2604675292969,50.3697891235352,11.460000038147,3050,1,2003-12-01,16.2604675292969,50.3697891235352,3050,"Dec",1,"6-18"
2004,1,30.5322341918945,63.9061813354492,12.8566665649414,2976,1,2004-01-01,30.5322341918945,63.9061813354492,2976,"Jan",1,"6-18"
2004,2,18.9052848815918,53.5195693969727,14.2533330917358,2662,1,2004-02-01,18.9052848815918,53.5195693969727,2662,"Feb",1,"6-18"
2004,3,24.0248508453369,67.871452331543,15.6499996185303,2871,1,2004-03-01,24.0248508453369,67.871452331543,2871,"Mar",1,"6-18"
2004,4,17.2347812652588,55.496696472168,23.3500003814697,2907,1,2004-04-01,17.2347812652588,55.496696472168,2907,"Apr",2,"19-30"
2004,5,14.682014465332,52.647647857666,22.3400001525879,3017,1,2004-05-01,14.682014465332,52.647647857666,3017,"May",2,"19-30"
2004,6,14.0979776382446,49.9542579650879,20.2399997711182,2664,1,2004-06-01,14.0979776382446,49.9542579650879,2664,"Jun",2,"19-30"
2004,7,16.0629386901855,45.7048034667969,22.0200004577637,2673,1,2004-07-01,16.0629386901855,45.7048034667969,2673,"Jul",2,"19-30"
2004,8,15.4725208282471,44.6019706726074,20.6100006103516,2738,1,2004-08-01,15.4725208282471,44.6019706726074,2738,"Aug",2,"19-30"
2004,9,17.7755508422852,43.0522003173828,18.8899993896484,2792,1,2004-09-01,17.7755508422852,43.0522003173828,2792,"Sept",1,"6-18"
2004,10,24.6251335144043,57.1489486694336,15.6999998092651,2426,1,2004-10-01,24.6251335144043,57.1489486694336,2426,"Oct",1,"6-18"
2004,11,25.2126655578613,56.5979766845703,10.710000038147,2683,1,2004-11-01,25.2126655578613,56.5979766845703,2683,"Nov",1,"6-18"
2004,12,19.756706237793,50.2661094665527,8.0600004196167,2976,1,2004-12-01,19.756706237793,50.2661094665527,2976,"Dec",1,"6-18"
2005,1,NA,NA,10.3000001907349,NA,1,2005-01-01,21.4720580211296,52.1952786624744,2138.09979714897,"Jan",1,"6-18"
2005,2,16.9210872650146,50.0217132568359,12.539999961853,1078,1,2005-02-01,16.9210872650146,50.0217132568359,1078,"Feb",1,"6-18"
2005,3,29.4909076690674,63.4146690368652,20.4799995422363,2534,1,2005-03-01,29.4909076690674,63.4146690368652,2534,"Mar",2,"19-30"
2005,4,26.2854232788086,65.6644592285156,24.0400009155273,2383,1,2005-04-01,26.2854232788086,65.6644592285156,2383,"Apr",2,"19-30"
2005,5,21.1162033081055,45.4785690307617,22.0300006866455,2453,1,2005-05-01,21.1162033081055,45.4785690307617,2453,"May",2,"19-30"
2005,6,18.4824962615967,49.2083511352539,18.5200004577637,2428,1,2005-06-01,18.4824962615967,49.2083511352539,2428,"Jun",1,"6-18"
2005,7,18.4344902038574,53.3595085144043,19.9099998474121,2511,1,2005-07-01,18.4344902038574,53.3595085144043,2511,"Jul",2,"19-30"
2005,8,17.242130279541,48.3903121948242,15.4099998474121,2388,1,2005-08-01,17.242130279541,48.3903121948242,2388,"Aug",1,"6-18"
2005,9,15.2371921539307,53.2628326416016,12.75,2358,1,2005-09-01,15.2371921539307,53.2628326416016,2358,"Sept",1,"6-18"
2005,10,20.9869422912598,54.2741661071777,10.4099998474121,2514,1,2005-10-01,20.9869422912598,54.2741661071777,2514,"Oct",1,"6-18"
2005,11,22.6386871337891,61.8142242431641,7.80999994277954,2326,1,2005-11-01,22.6386871337891,61.8142242431641,2326,"Nov",1,"6-18"
2005,12,35.1328315734863,73.3791046142578,4.67999982833862,2335,1,2005-12-01,35.1328315734863,73.3791046142578,2335,"Dec",0,"0-5"
2006,1,22.3025970458984,47.01171875,4.00999987125397,1760,1,2006-01-01,22.3025970458984,47.01171875,1760,"Jan",0,"0-5"
2006,2,19.025634765625,35.5710525512695,3.33999991416931,1471,1,2006-02-01,19.025634765625,35.5710525512695,1471,"Feb",0,"0-5"
2006,3,25.1587867736816,38.9827003479004,8.5,1403,1,2006-03-01,25.1587867736816,38.9827003479004,1403,"Mar",1,"6-18"
2006,4,20.7702598571777,36.7387161254883,11.5900001525879,1167,1,2006-04-01,20.7702598571777,36.7387161254883,1167,"Apr",1,"6-18"
2006,5,16.0007457733154,29.8688049316406,11.8800001144409,994,1,2006-05-01,16.0007457733154,29.8688049316406,994,"May",1,"6-18"
2006,6,23.687479019165,39.0228805541992,6.09000015258789,963,1,2006-06-01,23.687479019165,39.0228805541992,963,"Jun",1,"6-18"
2006,7,16.8923187255859,36.0342254638672,2.83999991416931,828,1,2006-07-01,16.8923187255859,36.0342254638672,828,"Jul",0,"0-5"
2006,8,18.7400894165039,35.1435699462891,3.14000010490417,740,1,2006-08-01,18.7400894165039,35.1435699462891,740,"Aug",0,"0-5"
2006,9,15.5022373199463,35.6421966552734,4.17000007629395,715,1,2006-09-01,15.5022373199463,35.6421966552734,715,"Sept",0,"0-5"
2006,10,24.4713001251221,30.8005409240723,5.3899998664856,775,1,2006-10-01,24.4713001251221,30.8005409240723,775,"Oct",0,"0-5"
2006,11,22.9389762878418,30.3735046386719,3.36999988555908,724,1,2006-11-01,22.9389762878418,30.3735046386719,724,"Nov",0,"0-5"
2006,12,23.0891094207764,28.0946731567383,3.22000002861023,749,1,2006-12-01,23.0891094207764,28.0946731567383,749,"Dec",0,"0-5"
2007,1,NA,NA,4.63500010967255,NA,1,2007-01-01,20.5030107915846,28.1084330457761,693.985770221716,"Jan",0,"0-5"
2007,2,19.2326030731201,28.8858089447021,6.05000019073486,623,1,2007-02-01,19.2326030731201,28.8858089447021,623,"Feb",1,"6-18"
2007,3,17.21262550354,23.6723651885986,14.8400001525879,745,1,2007-03-01,17.21262550354,23.6723651885986,745,"Mar",1,"6-18"
2007,4,16.0079689025879,19.3933124542236,18.8999996185303,637,1,2007-04-01,16.0079689025879,19.3933124542236,637,"Apr",1,"6-18"
2007,5,26.9335041046143,21.4154663085938,17.8600006103516,516,1,2007-05-01,26.9335041046143,21.4154663085938,516,"May",1,"6-18"
